episode_id,length,metadata_length,first_1s_static_ratio,last_1s_static_ratio,start_static_frames,end_static_frames,long_static_start,long_static_end,first_motion,last_motion,motion_ratio,max_motion,max_state_step,max_action_step,has_jump,jump_frames,gripper_state_min,gripper_state_max,gripper_action_min,gripper_action_max,frame_index_start,frame_index_end,frame_index_contiguous,timestamp_start,timestamp_end,timestamp_regular,dataset_index_start,dataset_index_end,metadata_dataset_from_index,metadata_dataset_to_index,metadata_index_match,warnings
0,246,246,0.06666666666666667,0.3,2,1,False,False,2,244,0.7235772357723578,0.1098274290561676,0.1098274290561676,0.1098274290561676,False,,0.0,0.08900000154972076,0.0,0.08900000154972076,0,245,True,0.0,8.166666984558105,True,0,245,0,246,True,
1,237,237,0.13333333333333333,0.03333333333333333,3,1,False,False,3,235,0.759493670886076,0.06419391185045242,0.06419391185045242,0.06419391185045242,False,,0.0,0.09880000352859497,0.0,0.09880000352859497,0,236,True,0.0,7.866666793823242,True,246,482,246,483,True,
2,254,254,0.13333333333333333,0.13333333333333333,4,1,False,False,4,252,0.7913385826771654,0.1497741937637329,0.1497741937637329,0.1497741937637329,False,,0.00019999999494757503,0.08990000188350677,0.00019999999494757503,0.08990000188350677,0,253,True,0.0,8.433333396911621,True,483,736,483,737,True,
3,333,333,0.2,0.26666666666666666,3,7,False,False,3,325,0.8768768768768769,0.13922056555747986,0.13922056555747986,0.13922056555747986,False,,0.0,0.08240000158548355,0.0,0.08240000158548355,0,332,True,0.0,11.066666603088379,True,737,1069,737,1070,True,
4,294,294,0.13333333333333333,0.06666666666666667,4,1,False,False,4,292,0.826530612244898,0.06286817789077759,0.06286817789077759,0.06286817789077759,False,,0.0,0.08320000022649765,0.0,0.08320000022649765,0,293,True,0.0,9.766666412353516,True,1070,1363,1070,1364,True,
5,267,267,0.16666666666666666,0.06666666666666667,2,2,False,False,2,264,0.8876404494382022,0.0917554497718811,0.0917554497718811,0.0917554497718811,False,,0.0,0.07519999891519547,0.0,0.07519999891519547,0,266,True,0.0,8.866666793823242,True,1364,1630,1364,1631,True,
6,241,241,0.16666666666666666,0.13333333333333333,3,1,False,False,3,239,0.8879668049792531,0.051895856857299805,0.051895856857299805,0.051895856857299805,False,,0.0,0.08640000224113464,0.0,0.08640000224113464,0,240,True,0.0,8.0,True,1631,1871,1631,1872,True,
7,283,283,0.1,0.4666666666666667,3,0,False,False,3,282,0.8162544169611308,0.1342141330242157,0.1342141330242157,0.1342141330242157,False,,0.0,0.08410000056028366,0.0,0.08410000056028366,0,282,True,0.0,9.399999618530273,True,1872,2154,1872,2155,True,
8,269,269,0.1,0.0,3,0,False,False,3,268,0.9070631970260223,0.10070421546697617,0.10070421546697617,0.10070421546697617,False,,0.00039999998989515007,0.07750000059604645,0.00039999998989515007,0.07750000059604645,0,268,True,0.0,8.933333396911621,True,2155,2423,2155,2424,True,
9,263,263,0.06666666666666667,0.13333333333333333,2,1,False,False,2,261,0.9011406844106464,0.09929125010967255,0.09929125010967255,0.09929125010967255,False,,0.00039999998989515007,0.08240000158548355,0.00039999998989515007,0.08240000158548355,0,262,True,0.0,8.733333587646484,True,2424,2686,2424,2687,True,
10,271,271,0.1,0.4,3,1,False,False,3,269,0.8191881918819188,0.12057289481163025,0.12057289481163025,0.12057289481163025,False,,0.0,0.08590000122785568,0.0,0.08590000122785568,0,270,True,0.0,9.0,True,2687,2957,2687,2958,True,
11,260,260,0.1,0.03333333333333333,3,1,False,False,3,258,0.8653846153846154,0.10660028457641602,0.10660028457641602,0.10660028457641602,False,,0.0,0.08789999783039093,0.0,0.08789999783039093,0,259,True,0.0,8.633333206176758,True,2958,3217,2958,3218,True,
12,237,237,0.1,0.03333333333333333,3,1,False,False,3,235,0.8649789029535865,0.09065646678209305,0.09065646678209305,0.09065646678209305,False,,0.0,0.08470000326633453,0.0,0.08470000326633453,0,236,True,0.0,7.866666793823242,True,3218,3454,3218,3455,True,
13,272,272,0.1,0.06666666666666667,3,2,False,False,3,269,0.8455882352941176,0.16495046019554138,0.16495046019554138,0.16495046019554138,False,,0.0,0.07440000027418137,0.0,0.07440000027418137,0,271,True,0.0,9.033333778381348,True,3455,3726,3455,3727,True,
14,199,199,0.1,0.16666666666666666,3,1,False,False,3,197,0.8492462311557789,0.13403970003128052,0.13403970003128052,0.13403970003128052,False,,0.0008999999845400453,0.0982000008225441,0.0008999999845400453,0.0982000008225441,0,198,True,0.0,6.599999904632568,True,3727,3925,3727,3926,True,
15,223,223,0.06666666666666667,0.03333333333333333,2,1,False,False,2,221,0.874439461883408,0.11254867911338806,0.11254867911338806,0.11254867911338806,False,,0.00039999998989515007,0.07750000059604645,0.00039999998989515007,0.07750000059604645,0,222,True,0.0,7.400000095367432,True,3926,4148,3926,4149,True,
16,201,201,0.1,0.3,3,2,False,False,3,198,0.8059701492537313,0.11207769811153412,0.11207769811153412,0.11207769811153412,False,,0.0,0.08330000191926956,0.0,0.08330000191926956,0,200,True,0.0,6.666666507720947,True,4149,4349,4149,4350,True,
17,179,179,0.1,0.06666666666666667,3,1,False,False,3,177,0.8547486033519553,0.09636065363883972,0.09636065363883972,0.09636065363883972,False,,0.0,0.08749999850988388,0.0,0.08749999850988388,0,178,True,0.0,5.933333396911621,True,4350,4528,4350,4529,True,
18,223,223,0.1,0.06666666666666667,3,2,False,False,3,220,0.8251121076233184,0.09820971637964249,0.09820971637964249,0.09820971637964249,False,,0.0,0.08590000122785568,0.0,0.08590000122785568,0,222,True,0.0,7.400000095367432,True,4529,4751,4529,4752,True,
19,216,216,0.1,0.3,3,1,False,False,3,214,0.8425925925925926,0.16533422470092773,0.16533422470092773,0.16533422470092773,False,,0.0,0.08500000089406967,0.0,0.08500000089406967,0,215,True,0.0,7.166666507720947,True,4752,4967,4752,4968,True,
