episode_id,old_len,new_len,removed_prefix,removed_suffix,first_motion,last_motion,motion_ratio
0,246,246,0,0,2,244,0.7235772357723578
1,237,237,0,0,3,235,0.759493670886076
2,254,254,0,0,4,252,0.7913385826771654
3,336,333,0,3,3,325,0.8690476190476191
4,294,294,0,0,4,292,0.826530612244898
5,267,267,0,0,2,264,0.8876404494382022
6,241,241,0,0,3,239,0.8879668049792531
7,283,283,0,0,3,282,0.8162544169611308
8,269,269,0,0,3,268,0.9070631970260223
9,263,263,0,0,2,261,0.9011406844106464
10,271,271,0,0,3,269,0.8191881918819188
11,260,260,0,0,3,258,0.8653846153846154
12,237,237,0,0,3,235,0.8649789029535865
13,272,272,0,0,3,269,0.8455882352941176
14,199,199,0,0,3,197,0.8492462311557789
15,223,223,0,0,2,221,0.874439461883408
16,201,201,0,0,3,198,0.8059701492537313
17,179,179,0,0,3,177,0.8547486033519553
18,223,223,0,0,3,220,0.8251121076233184
19,216,216,0,0,3,214,0.8425925925925926
